Unnamed: 0;CARTEIRA:;JANEIRO/25;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;ORIGEM_ETL;FEVEREIRO/25;PROJETO;TÍTULO;MUNICIPIO;SUPERVISOR;ENCARREGADO;STATUS;AR COELBA;PLANO;CRITERIO;ANÁLISE PROJETO PRÉ-FECH.;SOLICITAÇÃO DE RESERVA;DATA SAQUE MATERIAIS;PES LV;PES ENCABEÇ. BT / ENERG.;PES PD;DATA PD;STATUS PES PD;SI PG;PG's;CLIENTES;PREVISTOS;CAVA REALIZADA;REALIZADO;Á REALIZAR;AVNR;AVNP;INCIO;FIM;DATA ENERG REAL;OC. ENERG.;REFERENCIA;LATITUDE;LONGITUDE;VALOR DE PROJETO;22%%;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;STATUS_FATO;Unnamed: 1;Unnamed: 2;Nº de Postes;Nº de Turmas;nº Postes / Turma;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44;Unnamed: 45;;457;8;57;ão;284;36;B-1227403;ETAPA;AR;CARTEIRA;VALOR REAL;PIN;AVANÇO;OBRA SIMPLIFICADA;CRITÉRIO;MAPS;REFERÊNCIA;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;RESUMO LV;RESUMO PES PD;% POSTES;CAVP;CAVR;% CAVAS;DT I PROG;DT F PROG;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERGIZAÇÃO;ENERG. INFORMADA;AS BUILT;OBS.1;AVANÇO.1;CONCRETO ENVIADO;DEVOLUÇÃO;BOOK/EVIDÊNCIAS;PSTP;IMPEDITIVO;NOTA;MUNICÍPIO;POSTES PREV;POSTES REAL;CLIET. PREV;CLIET. REAL;V. PROJETO;INICIO;FAIXA;TITULO;LV;PES S/I;PES DESLIG;RESUMO;CLIET.;CAVD;PSTR;EQPP;EQPR;RDEP;RDER;V. PRJ 25%;CART.;PV. INÍCIO;PV. FIM;DT. SEPARAÇÃO;RESERVA;SACADO;PRÉ FECHAMENTO;SIMPLIFICADA;V. REAL;Nº PES;DATA DESL;COORDENADAS;CONCRETO;OBS CAVA;CAT;DT DESL;DEVOLUÇAO;CLIENT.;CART;DESLIG;DIAS;DIAS.1;BOOK;DIAS.2;LAT;LONG;SEPARAR MATERIAL;SITUAÇÃO;DATA DESLIG;STATUS 1;PST REALZ;PST EXEC;CAVA PRONTA;CAVA P/ DETON;VALOR 30%;SITUAÇÃO.1;OBRAS SIMPLIFICADAS;TECNICO FECHAMENTO;PG INICIAL;PG FINAL;VALOR 25%;LINK MAPS;PRE FECHAMENTO;STATUS 1.1;DATA DE ENERG.;VALOR/PST;GPM;VALOR A FATURAR;TITULO.1;STATUS 2;REPROGRAMAÇÃO;ESTÁGIO DE OBRAS;RESPONSÁVEL;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;PES;DATA INICIAL REAL;DATA FINAL REAL
;Contrato SIPEL:;4600074798;;;;;;;;;;;;;;;;;39;1048;384;357;691;25,3697479;;;;;;;;;;;;62;;;;0;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QTD. OBRAS;62;;;;;;;;;;;;;;;;;;;;POSTES;;;;;;;;;;;;;R$ 4.319.421,29;;;0;0;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS;ENCARREGADO;SUPERVISOR;"AR
COELBA";;CRITERIO;"ANÁLISE
PROJETO
PRÉ-FECH.";SOLICITAÇÃO DE RESERVA;"DATA SAQUE
MATERIAIS";"PES
LV";"PES 
ENCABEÇ. BT
/ ENERG.";"PES
PD";"DATA
PD";"STATUS
PES PD";SI PG;PG's;CLIENTES;PREVISTOS;CAVA REALIZADA;REALIZADO;Á REALIZAR;AVNR;AVNP;INCIO;FIM;DATA ENERG REAL;;REFERENCIA;LATITUDE;LONGITUDE;VALOR DE PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9100439999;B-0603904;RR-CIND-FAZENDA 10 DE MAIO-RURAL;SÃO JOSÉ DO JACUÍPE;ENERGIZADA;LUCIANO;RENATO;MANOEL GUSTAVO;;LPT;08/01/25;08/01/25;13/01/25;2025-6621;2025-7227;2024-154722;21/01/25;CANCELADA;1016756/2024;E615835 ao E615848;1;15;15;15;0;;;13/01/25;21/01/25;27/01/2025;;;-11.436497;-39.854091;R$ 72.784,76;;;110,00;;;Realocar CH com LV. Necessári visita. Projeto de 2019, com necesside de abrir acesso com retro;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101077475;B-0823492;MP-CIND-POV PEDRA BRANCA-RURAL;MUNDO NOVO;;EDILSON;RENATO;DIORLAN;;LPT;03/01/25;03/01/25;10/01/25;2025-7250;2025-7260;;;;;E615818 AO E615825;1;8;4;;8;;;08/01/25;21/01/25;;;;-12.007194;;R$ 122.973,00;;;;;;Intercalar poste c LV, solo bom;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101763912;B-1056397;MP-CIND-FAZ-LAGOA DO FELIPAO-RURAL;PIRITIBA;ANDAMENTO;RODRIGO;DURVAL;DIORLAN;;LPT;03/01/25;03/01/25;08/01/25;2025-7271;2025-7282;;;;1016757/2024;E698713 ao E698723;1;10;;;10;;;20/01/25;31/01/25;;;;-11.722435;-40.667881;R$ 129.497,91;;;;;;Montar bancada N3 c LV. Solo bom;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9100996248;B-0801606;LD CIND FAZ LAGOA DA PEDRA RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;;JUDICIAL;02/01/25;02/01/25;07/01/25;2025-9578;;;;;;E615811 AO E615817;1;7;7;7;0;100,00%;;20/01/25;25/01/25;25/01/2025;;;-11.643832;-40.466862;R$ 42.662,80;;;;;;Intercalar poste c LV, solo bom;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102043484;B-1137175;MP-CIND-POV SALITE-RURAL;CAMPO FORMOSO;ENERGIZADA;EUDARIO;ETEMILSON;HIAGO SANTANA - U470061;;REPUTACIONAL;02/01/25;02/01/25;07/01/25;2025-9251;"2025-9559 - LM
2025-11489";2024-154586;14/01/25;CANCELADA;1016758/2024;"E698724 ao E698746
E615885 AO E615890";3;34;30;30;4;;;06/01/25;22/01/25;31/01/2025;;;-10.402645;-40.822585;R$ 323.470,16;;;;;;Desligamento em conjunto c LV p/ substutição de postes BT por MT. Solo cava c trado;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102099617;B-1152973;ER-CCOL-FAZ-MELANCIAS-RR-OUROLANDIA;OUROLÂNDIA;ENERGIZADA;ELIEZER;ETEMILSON;NAILTON;;REPUTACIONAL;02/01/25;02/01/25;07/01/25;2025-7862;2025-7867;;;;1016759/2024;E698747 ao E698798;3;52;52;52;0;100,00%;;06/01/25;31/01/25;31/01/2025;;;-10.891227;-41.1274074;R$ 554.239,65;;;510,00;;;Intercalar poste c LC, Pelas fotos do geoex os postes já estao implantados por outra EPS. NECESSIDADE DE VISITAR;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101899532;B-1073346;LD-CIND-PR.GALDINO VITORIA-RURAL;MUNDO NOVO;;LUCIANO;RENATO;DIORLAN;;LPT;03/01/25;06/01/25;09/01/25;2025-9929;;;;;;E615827 E E615827;1;2;;;2;0%;;11/01/25;18/01/25;;;;-12.041839;-40.793877;R$ 27.036,75;;;;;;Intercalar poste c LV, solo bom;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
